Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
mnh14,NA,mnh14_05497,1,345,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
mnh14,NA,mnh14_05498,1,777,+,aadA2,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,BLASTX,259,263,98.48,100,259,WP_001206356.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,NA,NA
mnh14,NA,mnh14_05499,1,495,+,dfrA12,trimethoprim-resistant dihydrofolate reductase DfrA12,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,165,165,100,100,165,WP_001083725.1,trimethoprim-resistant dihydrofolate reductase DfrA12,NA,NA
mnh14,NA,mnh14_05571,1,882,+,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100,100,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,NA,NA
mnh14,NA,mnh14_05572,1,1473,+,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100,100,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),NA,NA
mnh14,NA,mnh14_05575,1,771,+,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100,100,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,NA,NA
mnh14,NA,mnh14_05582,1,642,+,qnrB1,quinolone resistance pentapeptide repeat protein QnrB1,core,AMR,AMR,QUINOLONE,QUINOLONE,ALLELEX,214,214,100,100,214,WP_014386481.1,quinolone resistance pentapeptide repeat protein QnrB1,NA,NA
mnh14,NA,mnh14_05587,1,873,+,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
mnh14,NA,mnh14_05593,1,234,+,merE,broad-spectrum mercury transporter MerE,plus,STRESS,METAL,MERCURY,MERCURY,BLASTX,78,78,100,96.15,78,AAC38236.1,broad-spectrum mercury transporter MerE,NA,NA
mnh14,NA,mnh14_05594,1,363,+,merD,mercury resistance co-regulator MerD,plus,STRESS,METAL,MERCURY,MERCURY,BLASTX,121,121,100,90.08,121,AAC38221.1,mercury resistance co-regulator MerD,NA,NA
mnh14,NA,mnh14_05595,1,1683,+,merA,mercury(II) reductase,plus,STRESS,METAL,MERCURY,MERCURY,BLASTX,561,561,100,93.23,561,ACU65296.1,mercury(II) reductase,NA,NA
mnh14,NA,mnh14_05598,19,363,+,merT,mercuric transport protein MerT,plus,STRESS,METAL,MERCURY,MERCURY,BLASTX,115,116,99.14,98.26,115,CAA70196.1,mercuric transport protein MerT,NA,NA
mnh14,NA,mnh14_05599,1,426,+,merR,mercury resistance transcriptional regulator MerR,plus,STRESS,METAL,MERCURY,MERCURY,BLASTX,142,144,98.61,92.25,142,CAA77320.1,mercury resistance transcriptional regulator MerR,NA,NA
mnh14,NA,mnh14_05627,1,858,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
mnh14,NA,mnh14_05629,1,834,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
mnh14,NA,mnh14_05630,1,801,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
mnh14,NA,mnh14_05631,1,813,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
mnh14,NA,mnh14_05636,46,597,+,aac(6')-Ib-cr5,fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5,core,AMR,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,ALLELEX,184,184,100,100,184,WP_063840321.1,fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5,NA,NA
mnh14,NA,mnh14_05637,1,828,+,blaOXA-1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,276,276,100,100,276,WP_001334766.1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,NA,NA
mnh14,NA,mnh14_05638,1,441,+,catB3,type B-3 chloramphenicol O-acetyltransferase CatB3,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIALX,147,210,70,100,147,WP_000186237.1,type B-3 chloramphenicol O-acetyltransferase CatB3,NA,NA
mnh14,NA,mnh14_05657,1,450,+,arr-2,NAD(+)--rifampin ADP-ribosyltransferase Arr-2,core,AMR,AMR,RIFAMYCIN,RIFAMYCIN,ALLELEX,150,150,100,100,150,WP_000237816.1,NAD(+)--rifampin ADP-ribosyltransferase Arr-2,NA,NA
mnh14,NA,mnh14_05658,1,1224,+,ere(A),EreA family erythromycin esterase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,BLASTX,408,418,97.61,100,408,WP_015059985.1,EreA family erythromycin esterase,NA,NA
mnh14,NA,mnh14_05659,1,777,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,BLASTX,259,263,98.48,100,259,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
mnh14,NA,mnh14_05660,1,1257,+,cmlA5,chloramphenicol efflux MFS transporter CmlA5,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,419,419,100,100,419,WP_012300772.1,chloramphenicol efflux MFS transporter CmlA5,NA,NA
mnh14,NA,mnh14_05661,1,345,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
mnh14,NA,mnh14_05662,1,837,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
mnh14,NA,mnh14_05669,1,363,+,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100,100,121,WP_004201167.1,bleomycin binding protein Ble-MBL,NA,NA
mnh14,NA,mnh14_05670,1,810,+,blaNDM-5,subclass B1 metallo-beta-lactamase NDM-5,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,270,270,100,100,270,WP_023408309.1,subclass B1 metallo-beta-lactamase NDM-5,NA,NA
mnh14,NA,mnh14_05675,1,753,+,rmtB1,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,ALLELEX,251,251,100,100,251,WP_012372818.1,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1,NA,NA
mnh14,NA,mnh14_05682,1,795,+,blaOXA-232,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-232,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,265,265,100,100,265,WP_043907054.1,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-232,NA,NA
mnh04,NA,mnh04_00360,1,858,+,blaSHV-26,inhibitor-resistant broad-spectrum class A beta-lactamase SHV-26,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_023280043.1,inhibitor-resistant broad-spectrum class A beta-lactamase SHV-26,NA,NA
mnh04,NA,mnh04_01851,1,1173,+,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,391,391,100,99.74,391,WP_004149398.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA10,NA,NA
mnh04,NA,mnh04_01852,1,3150,+,oqxB19,multidrug efflux RND transporter permease subunit OqxB19,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,ALLELEX,1050,1050,100,100,1050,WP_004149399.1,multidrug efflux RND transporter permease subunit OqxB19,NA,NA
mnh04,NA,mnh04_02916,1,1182,+,emrD,multidrug efflux MFS transporter EmrD,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,394,394,100,99.49,394,ACN65732.1,multidrug efflux MFS transporter EmrD,NA,NA
mnh04,NA,mnh04_03048,1,900,+,fieF,CDF family cation-efflux transporter FieF,plus,STRESS,METAL,NA,NA,EXACTX,300,300,100,100,300,BAB89353.1,CDF family cation-efflux transporter FieF,NA,NA
mnh04,NA,mnh04_03558,1,417,+,fosA,FosA5 family fosfomycin resistance glutathione transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,BLASTX,139,139,100,99.28,139,WP_012579083.1,fosfomycin resistance glutathione transferase FosA5,NA,NA
mnh04,NA,mnh04_04575,1,1230,+,kdeA,multidrug efflux MFS transporter KdeA,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,410,410,100,99.76,410,ABR76310.1,multidrug efflux MFS transporter KdeA,NA,NA
mnh04,NA,mnh04_04945,46,597,+,aac(6')-Ib-cr5,fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5,core,AMR,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,ALLELEX,184,184,100,100,184,WP_063840321.1,fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5,NA,NA
mnh04,NA,mnh04_04946,1,828,+,blaOXA-1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,276,276,100,100,276,WP_001334766.1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,NA,NA
mnh04,NA,mnh04_04947,1,441,+,catB3,type B-3 chloramphenicol O-acetyltransferase CatB3,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIALX,147,210,70,100,147,WP_000186237.1,type B-3 chloramphenicol O-acetyltransferase CatB3,NA,NA
mnh04,NA,mnh04_04949,1,858,+,aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,286,286,100,100,286,WP_000557452.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,NA,NA
mnh04,NA,mnh04_04955,1,873,+,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
mnh04,NA,mnh04_05072,1,573,+,terE,tellurium resistance cAMP binding protein TerE,plus,STRESS,METAL,TELLURIUM,TELLURIUM,BLASTX,191,191,100,99.48,191,AAA98293.1,tellurium resistance cAMP binding protein TerE,NA,NA
mnh04,NA,mnh04_05073,1,576,+,terD,tellurium resistance membrane protein TerD,plus,STRESS,METAL,TELLURIUM,TELLURIUM,BLASTX,192,192,100,98.96,192,AAA98292.1,tellurium resistance membrane protein TerD,NA,NA
mnh04,NA,mnh04_05074,1,1038,+,terC,tellurium resistance membrane protein TerC,plus,STRESS,METAL,TELLURIUM,TELLURIUM,BLASTX,346,346,100,99.42,346,AAA98291.1,tellurium resistance membrane protein TerC,NA,NA
mnh04,NA,mnh04_05075,1,453,+,terB,tellurium resistance membrane protein TerB,plus,STRESS,METAL,TELLURIUM,TELLURIUM,EXACTX,151,151,100,100,151,ACI12150.1,tellurium resistance membrane protein TerB,NA,NA
mnh04,NA,mnh04_05302,1,429,+,silE,silver-binding protein SilE,plus,STRESS,METAL,SILVER,SILVER,BLASTX,143,143,100,96.5,143,AAD11743.1,silver-binding protein SilE,NA,NA
mnh04,NA,mnh04_05303,1,1473,+,silS,copper/silver sensor histidine kinase SilS,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,491,491,100,100,491,SPD96882.1,copper/silver sensor histidine kinase SilS,NA,NA
mnh04,NA,mnh04_05304,1,678,+,silR,copper/silver response regulator transcription factor SilR,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,226,226,100,100,226,SPD96883.1,copper/silver response regulator transcription factor SilR,NA,NA
mnh04,NA,mnh04_05305,1,1383,+,silC,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,461,461,100,100,461,SPD96884.1,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,NA,NA
mnh04,NA,mnh04_05306,1,351,+,silF,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,117,117,100,99.15,117,KGL71342.1,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,NA,NA
mnh04,NA,mnh04_05307,1,1290,+,silB,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,430,430,100,97.67,430,AAD11748.1,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,NA,NA
mnh04,NA,mnh04_05308,1,3144,+,silA,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,1048,1048,100,98.85,1048,AAD11749.1,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,NA,NA
mnh04,NA,mnh04_05310,1,2445,+,silP,Ag(+)-translocating P-type ATPase SilP,plus,STRESS,METAL,SILVER,SILVER,BLASTX,815,824,98.79,94.49,816,AAD11750.1,Ag(+)-translocating P-type ATPase SilP,NA,NA
mnh04,NA,mnh04_05314,1,1815,+,pcoA,multicopper oxidase PcoA,plus,STRESS,METAL,COPPER,COPPER,EXACTX,605,605,100,100,605,CAA58525.1,multicopper oxidase PcoA,NA,NA
mnh04,NA,mnh04_05315,7,894,+,pcoB,copper-binding protein PcoB,plus,STRESS,METAL,COPPER,COPPER,EXACTX,296,296,100,100,296,CAA58526.1,copper-binding protein PcoB,NA,NA
mnh04,NA,mnh04_05316,1,378,+,pcoC,copper resistance system metallochaperone PcoC,plus,STRESS,METAL,COPPER,COPPER,EXACTX,126,126,100,100,126,CAA58527.1,copper resistance system metallochaperone PcoC,NA,NA
mnh04,NA,mnh04_05317,1,927,+,pcoD,copper resistance inner membrane protein PcoD,plus,STRESS,METAL,COPPER,COPPER,BLASTX,309,309,100,99.35,309,CAA58528.1,copper resistance inner membrane protein PcoD,NA,NA
mnh04,NA,mnh04_05318,1,678,+,pcoR,copper response regulator transcription factor PcoR,plus,STRESS,METAL,COPPER,COPPER,EXACTX,226,226,100,100,226,CAA58529.1,copper response regulator transcription factor PcoR,NA,NA
mnh04,NA,mnh04_05319,1,1398,+,pcoS,copper resistance membrane spanning protein PcoS,plus,STRESS,METAL,COPPER,COPPER,BLASTX,466,466,100,99.14,466,CAA58530.1,copper resistance membrane spanning protein PcoS,NA,NA
mnh04,NA,mnh04_05359,1,567,+,hsp20,small heat shock protein sHSP20,plus,STRESS,HEAT,NA,NA,BLASTX,189,189,100,99.47,189,CDY80020.1,small heat shock protein sHSP20,NA,NA
mnh04,NA,mnh04_05360,1,2847,+,clpK,heat shock survival AAA family ATPase ClpK,plus,STRESS,HEAT,NA,NA,BLASTX,949,949,100,98.74,949,ASF80763.1,heat shock survival AAA family ATPase ClpK,NA,NA
mnh04,NA,mnh04_05364,1,456,+,shsP,small heat shock protein sHSP20-GI,plus,STRESS,HEAT,NA,NA,BLASTX,152,152,100,99.34,152,ASF80771.1,small heat shock protein sHSP20-GI,NA,NA
mnh04,NA,mnh04_05365,1,912,+,yfdX1,heat resistance protein YfdX1,plus,STRESS,HEAT,NA,NA,BLASTX,304,304,100,99.34,304,APX31172.1,heat resistance protein YfdX1,NA,NA
mnh04,NA,mnh04_05366,1,885,+,yfdX2,heat resistance protein YfdX2,plus,STRESS,HEAT,NA,NA,BLASTX,295,295,100,98.98,295,ASF80766.1,heat resistance protein YfdX2,NA,NA
mnh04,NA,mnh04_05367,1,609,+,hdeD-GI,heat resistance membrane protein HdeD-GI,plus,STRESS,HEAT,NA,NA,BLASTX,203,203,100,96.06,203,APX31174.1,heat resistance membrane protein HdeD-GI,NA,NA
mnh04,NA,mnh04_05369,1,438,+,trxLHR,heat resistance system thioredoxin Trx-GI,plus,STRESS,HEAT,NA,NA,BLASTX,146,146,100,98.63,146,APX31176.1,heat resistance system thioredoxin Trx-GI,NA,NA
mnh04,NA,mnh04_05370,1,1707,+,kefB-GI,heat resistance system K+/H+ antiporter KefB-GI,plus,STRESS,HEAT,NA,NA,BLASTX,569,571,99.65,99.12,569,APX31177.1,heat resistance system K+/H+ antiporter KefB-GI,NA,NA
mnh04,NA,mnh04_05371,1,495,+,psi-GI,heat resistance protein PsiE-GI,plus,STRESS,HEAT,NA,NA,BLASTX,165,165,100,95.76,165,APX31178.1,heat resistance protein PsiE-GI,NA,NA
mnh04,NA,mnh04_05461,1,1296,+,ncrA,Metal Resistance,plus,STRESS,METAL,NICKEL,NICKEL,EXACTX,432,432,100,100,432,ABF61434.1,Metal Resistance,NA,NA
mnh04,NA,mnh04_05462,1,267,+,ncrB,nickel-sensing transcriptional repressor NcrB,plus,STRESS,METAL,NICKEL,NICKEL,EXACTX,89,89,100,100,89,ABF61435.1,nickel-sensing transcriptional repressor NcrB,NA,NA
mnh04,NA,mnh04_05463,1,1128,+,ncrC,Ni(II)/Co(II) efflux transporter permease subunit NcrC,plus,STRESS,METAL,COPPER/NICKEL,COPPER/NICKEL,EXACTX,376,376,100,100,376,ADF64798.1,Ni(II)/Co(II) efflux transporter permease subunit NcrC,NA,NA
mnh04,NA,mnh04_05464,1,408,+,ncrY,nickel resistance OB fold protein NcrY,plus,STRESS,METAL,NICKEL,NICKEL,BLASTX,136,140,97.14,100,136,ABF61437.1,nickel resistance OB fold protein NcrY,NA,NA
mnh16,NA,mnh16_01063,1,3150,+,oqxB,multidrug efflux RND transporter permease subunit OqxB,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,1050,1050,100,99.9,1050,WP_004149399.1,multidrug efflux RND transporter permease subunit OqxB19,NA,NA
mnh16,NA,mnh16_01064,1,1173,+,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,391,391,100,99.49,391,WP_002914189.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,NA,NA
mnh16,NA,mnh16_02661,1,858,+,blaSHV-11,broad-spectrum class A beta-lactamase SHV-11,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_004176269.1,broad-spectrum class A beta-lactamase SHV-11,NA,NA
mnh16,NA,mnh16_03432,1,1230,+,kdeA,multidrug efflux MFS transporter KdeA,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,410,410,100,99.51,410,ABR76310.1,multidrug efflux MFS transporter KdeA,NA,NA
mnh16,NA,mnh16_04492,1,417,+,fosA,FosA5 family fosfomycin resistance glutathione transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,EXACTX,139,139,100,100,139,WP_004146118.1,FosA5 family fosfomycin resistance glutathione transferase,NA,NA
mnh16,NA,mnh16_05026,1,900,+,fieF,CDF family cation-efflux transporter FieF,plus,STRESS,METAL,NA,NA,EXACTX,300,300,100,100,300,BAB89353.1,CDF family cation-efflux transporter FieF,NA,NA
mnh16,NA,mnh16_05162,1,1182,+,emrD,multidrug efflux MFS transporter EmrD,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,394,394,100,99.49,394,ACN65732.1,multidrug efflux MFS transporter EmrD,NA,NA
mnh16,NA,mnh16_05313,1,429,+,silE,silver-binding protein SilE,plus,STRESS,METAL,SILVER,SILVER,BLASTX,143,143,100,92.31,143,AAD11743.1,silver-binding protein SilE,NA,NA
mnh16,NA,mnh16_05314,1,1473,+,silS,copper/silver sensor histidine kinase SilS,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,491,491,100,98.78,491,SPD96882.1,copper/silver sensor histidine kinase SilS,NA,NA
mnh16,NA,mnh16_05315,1,678,+,silR,copper/silver response regulator transcription factor SilR,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,226,226,100,97.79,226,SPD96883.1,copper/silver response regulator transcription factor SilR,NA,NA
mnh16,NA,mnh16_05316,1,1383,+,silC,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,461,461,100,98.26,461,SPD96884.1,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,NA,NA
mnh16,NA,mnh16_05317,1,351,+,silF,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,117,117,100,99.15,117,KGL71342.1,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,NA,NA
mnh16,NA,mnh16_05318,1,1290,+,silB,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,430,430,100,98.37,430,AAD11748.1,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,NA,NA
mnh16,NA,mnh16_05319,1,3144,+,silA,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,1048,1048,100,99.43,1048,AAD11749.1,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,NA,NA
mnh16,NA,mnh16_05321,1,2439,+,silP,Ag(+)-translocating P-type ATPase SilP,plus,STRESS,METAL,SILVER,SILVER,BLASTX,813,824,98.79,98.53,814,AAD11750.1,Ag(+)-translocating P-type ATPase SilP,NA,NA
mnh16,NA,mnh16_05325,1,1815,+,pcoA,multicopper oxidase PcoA,plus,STRESS,METAL,COPPER,COPPER,BLASTX,605,605,100,99.83,605,CAA58525.1,multicopper oxidase PcoA,NA,NA
mnh16,NA,mnh16_05326,7,894,+,pcoB,copper-binding protein PcoB,plus,STRESS,METAL,COPPER,COPPER,EXACTX,296,296,100,100,296,CAA58526.1,copper-binding protein PcoB,NA,NA
mnh16,NA,mnh16_05327,1,378,+,pcoC,copper resistance system metallochaperone PcoC,plus,STRESS,METAL,COPPER,COPPER,EXACTX,126,126,100,100,126,CAA58527.1,copper resistance system metallochaperone PcoC,NA,NA
mnh16,NA,mnh16_05328,1,927,+,pcoD,copper resistance inner membrane protein PcoD,plus,STRESS,METAL,COPPER,COPPER,BLASTX,309,309,100,99.35,309,CAA58528.1,copper resistance inner membrane protein PcoD,NA,NA
mnh16,NA,mnh16_05329,1,678,+,pcoR,copper response regulator transcription factor PcoR,plus,STRESS,METAL,COPPER,COPPER,EXACTX,226,226,100,100,226,CAA58529.1,copper response regulator transcription factor PcoR,NA,NA
mnh16,NA,mnh16_05330,1,1398,+,pcoS,copper resistance membrane spanning protein PcoS,plus,STRESS,METAL,COPPER,COPPER,BLASTX,466,466,100,99.14,466,CAA58530.1,copper resistance membrane spanning protein PcoS,NA,NA
mnh16,NA,mnh16_05331,1,432,+,pcoE,copper resistance system metallochaperone PcoE,plus,STRESS,METAL,COPPER,COPPER,BLASTX,144,144,100,93.75,144,CAA58532.1,copper resistance system metallochaperone PcoE,NA,NA
mnh16,NA,mnh16_05340,1,567,+,hsp20,small heat shock protein sHSP20,plus,STRESS,HEAT,NA,NA,BLASTX,189,189,100,97.35,189,CDY80020.1,small heat shock protein sHSP20,NA,NA
mnh16,NA,mnh16_05341,1,2787,+,clpK,heat shock survival AAA family ATPase ClpK,plus,STRESS,HEAT,NA,NA,BLASTX,929,949,97.89,98.6,929,ASF80763.1,heat shock survival AAA family ATPase ClpK,NA,NA
mnh16,NA,mnh16_05621,1,801,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
mnh16,NA,mnh16_05622,1,834,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
mnh16,NA,mnh16_05633,1,813,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
mnh16,NA,mnh16_05640,1,858,+,aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,286,286,100,100,286,WP_000557452.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,NA,NA
mnh16,NA,mnh16_05647,1,873,+,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
mnh16,NA,mnh16_05652,1,858,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
mnh16,NA,mnh16_05655,1,903,+,mph(A),Mph(A) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,EXACTX,301,301,100,100,301,WP_000219391.1,Mph(A) family macrolide 2'-phosphotransferase,NA,NA
